map,mode,matchID,duration,result,isPresentAtEnd,kills,ekiadRatio,rankAtEnd,shotsLanded,highestMultikill,ekia,score,headshots,assists,scorePerMinute,deaths,damageDealt,shotsMissed,multikills,highestStreak,hits,timePlayed,suicides,timePlayedAlive,objectives,shotsFired
mp_sm_finance,dom,4.83E+18,325000,win,1,13,0.882352941,37,49,2,15,2875,0,2,468.75,17,2145,221,1,2,49,368,0,282,11,270
mp_sm_game_show,conf,7.84E+17,360000,loss,1,16,1.117647059,36,50,2,19,2790,0,3,407.2992701,17,3160,127,2,2,50,411,0,324,19,177
mp_sm_central,conf,3.19E+18,328000,loss,1,14,0.857142857,36,100,2,18,2885,4,4,462.8342246,21,2768,328,2,3,100,374,0,279,17,428
mp_sm_berlin_tunnel,tdm,1.49E+19,360000,loss,1,13,0.833333333,36,72,2,15,2100,0,2,308.0684597,18,2234,275,1,2,72,409,0,317,0,347
mp_sm_game_show,tdm,1.63E+19,315000,loss,1,8,0.9375,36,68,0,15,1150,3,7,190.6077348,16,1774,233,0,2,68,362,0,278,0,301
mp_nuketown6,dom,1.82E+19,651000,win,1,17,0.958333333,36,92,0,23,2775,0,6,239.9135447,24,2995,570,0,3,92,694,0,557,7,662
mp_raid_rm,tdm,1.70E+19,556000,win,,1,1,35,11,0,2,100,1,1,37.73584906,2,316,59,0,1,11,159,0,131,0,70
mp_tank,tdm,1.79E+19,515000,win,1,18,2.111111111,35,55,2,19,3150,2,1,307.3170732,9,2880,322,1,4,55,615,0,492,0,377
mp_mall,tdm,9.76E+18,600000,win,1,10,1.3,34,41,2,13,1950,4,3,176.7371601,10,1691,187,1,3,41,662,0,570,0,228
mp_kgb,tdm,3.56E+18,600000,win,1,5,0.833333333,34,44,0,10,650,2,5,88.63636364,12,1390,267,0,2,44,440,0,355,0,311
mp_satellite,tdm,6.19E+18,506000,win,1,2,0.75,34,14,0,3,150,1,1,59.60264901,4,568,38,0,1,14,151,0,103,0,52
mp_cartel,tdm,1.62E+19,600000,loss,1,7,0.833333333,34,51,0,10,1000,1,3,88.23529412,12,1680,271,0,2,51,680,0,568,0,322
mp_tundra,tdm,2.79E+18,556000,loss,1,15,1,34,82,2,20,3215,1,5,319.3708609,20,2665,375,2,4,82,604,0,497,0,457
mp_black_sea,tdm,2.43E+18,600000,win,1,11,1.083333333,34,59,2,13,1485,2,2,136.6564417,12,2143,260,2,2,59,652,0,556,0,319
mp_mall,tdm,7.64E+18,600000,win,1,12,1.076923077,33,50,2,14,1430,3,2,125.4385965,13,1830,217,1,3,54,684,0,558,0,267
mp_black_sea,tdm,1.73E+19,600000,win,1,16,1.125,33,70,2,18,3685,2,2,326.5878877,16,2858,333,1,5,72,677,0,559,0,403
mp_satellite,tdm,1.48E+19,502000,loss,1,11,0.866666667,32,56,0,13,1505,0,2,161.5384615,15,1782,242,0,3,56,559,0,455,0,298
mp_mall,tdm,1.51E+19,600000,loss,1,15,1.230769231,32,70,2,16,3655,0,1,329.2792793,13,2121,314,1,5,70,666,0,564,0,384
mp_tank,tdm,1.79E+19,600000,loss,1,9,0.733333333,32,64,2,11,1665,2,2,148,15,2224,244,1,3,64,675,0,555,0,308
mp_nuketown6,dm,1.14E+19,397000,win,1,17,1.1875,40,68,2,19,2950,3,0,396.8609865,16,2591,360,2,4,68,446,0,360,0,428
mp_nuketown6,koth,1.67E+19,619000,win,1,20,1.083333333,40,137,3,39,3870,4,19,347.0852018,36,4455,787,2,2,137,669,0,533,32,924
mp_satellite,dm,1.58E+19,517000,,1,13,0.789473684,40,78,0,15,1700,1,0,183.4532374,19,2535,229,0,3,78,556,0,475,0,307
mp_nuketown6,conf,1.74E+18,346000,win,1,12,1.555555556,40,46,2,14,1790,2,2,278.238342,9,1846,178,1,3,46,386,0,323,17,224
mp_satellite,dm,1.21E+19,600000,loss,1,28,1.611111111,39,143,3,29,4101,5,0,383.271028,18,4567,643,2,4,143,642,0,552,0,786
mp_raid_rm,vip,1.42E+19,438000,win,1,4,1,39,31,0,5,350,0,1,43.38842975,5,650,95,0,2,31,484,0,199,0,126
mp_black_sea,tdm,1.70E+19,545000,loss,1,14,0.789473684,39,66,2,15,2600,3,1,255.3191489,19,2925,247,1,3,66,611,0,499,0,313
mp_cartel,dm,1.33E+19,600000,loss,1,12,1.272727273,39,43,0,14,2300,0,0,213.622291,11,2001,122,0,5,43,646,0,566,0,165
mp_satellite,conf,6.67E+18,601000,win,1,16,2.111111111,38,52,2,19,4340,2,3,380.7017544,9,2679,274,1,6,52,684,0,574,22,326
